"job_id","job_title","job_location","company_name","salary_year_avg"
1272597,"Data Analyst","Ajman - United Arab Emirates","Want More",NULL
1685438,"Data Analyst","United Arab Emirates","Avanta Works",NULL
1465280,"Data Analyst","Doha, Qatar","Woopel",NULL
11785,"Logistics Data Analyst | KSA | Trilogilogistics | Riyadh...","Saudi Arabia","Talent Pal",NULL
1346188,"Data Analyst","Ras Al-Khaimah - Ras al Khaimah - United Arab Emirates","Work in USA",NULL
472461,"Pricing Executive – Data Analytics Jobs","Dubai - United Arab Emirates","Al Futtaim",NULL
390330,"BI/Data Analyst Jobs in Abu Dhabi","Abu Dhabi - United Arab Emirates","Farah Experiences",NULL
1445832,"Data Analyst","Doha, Qatar","Work in USA",NULL
350213,"Data Analyst/Business Intelligence Analyst","United Arab Emirates","confidential",NULL
1567809,"Data Analyst","Riyadh Saudi Arabia","Want More",NULL
410766,"Data Analyst Manager","Dubai - United Arab Emirates","Binance",NULL
776441,"Creative Data Analyst Jobs in Dubai | TikTok UAE Careers","Dubai - United Arab Emirates","TikTok",NULL
1309912,"Data Analyst","Sharjah - United Arab Emirates","Work in USA",NULL
1672700,"Data Analyst","Ajman - United Arab Emirates","JobCenter",NULL
1288225,"Associate Data Analyst - Logistics","Dubai - United Arab Emirates","Chalhoub Group",NULL
44842,"Scientific Data Analyst, Axios International - Powered By Qureos","Dubai - United Arab Emirates","Qureos",NULL
919890,"Data Analyst","Riyadh Saudi Arabia","Work in USA",NULL
508793,"Data Analytics Manager Jobs in Dubai","Dubai - United Arab Emirates","Majid Al Futtaim",NULL
760342,"Data Analyst","United Arab Emirates","PPOAR",NULL
219999,"Data Analysis Expert","Abu Dhabi - United Arab Emirates","Five Continents Technical & Industrial Services Est.",NULL
1403720,"Data Analyst","Dubai - United Arab Emirates","TASC Outsourcing",NULL
10132,"Data Analyst","Doha, Qatar","PPOAR",NULL
148834,"Data Analyst","Doha, Qatar","Work in USA",NULL
1355446,"Creative Data Analyst Jobs in Dubai","Dubai - United Arab Emirates","TikTok",NULL
847341,"Data Intelligence Manager","Riyadh Saudi Arabia","Almosafer",NULL
462229,"Data Analyst - Urgent","Dubai - United Arab Emirates","Majid Al Futtaim",NULL
1416754,"Data Analyst","Doha, Qatar","India Abroad",NULL
1750095,"Data Analyst","United Arab Emirates","Ecojob",NULL
1455575,"Data Management Analyst","Dubai - United Arab Emirates","Gulf Career Hunt",NULL
598877,"Data Analyst","United Arab Emirates","Work standard",NULL
1148620,"Data Governance Analyst","Doha, Qatar","Brunel",NULL
644119,"Livestream Business Data Analyst","Dubai - United Arab Emirates","TikTok",NULL
878268,"Commercial Analytics Officer","Doha, Qatar","Qatar Airways",NULL
1333337,"TRAINING DATA ANALYST Jobs In Dubai","Dubai - United Arab Emirates","Trans Skills LLC",NULL
632206,"Data Analyst","Riyadh Saudi Arabia","Avanta Works",NULL
436891,"Data Analyst","Doha, Qatar","Abroad Work",NULL
1707952,"Data Analyst","Riyadh Saudi Arabia","Flyper",NULL
996080,"Data Analyst","Doha, Qatar","Ecojob",NULL
581,"Data Analyst","Riyadh Saudi Arabia","Jing Hau",NULL
1033619,"BOUCHERON - Data Analyst F/H","Dubai - United Arab Emirates","Kering",NULL
508768,"Data Analyst","Dubai - United Arab Emirates","Work in USA",NULL
13805,"Data Analyst","United Arab Emirates","Work in USA",NULL
615180,"Applied Scientist","Abu Dhabi - United Arab Emirates","Group 42",NULL
986852,"Data Analyst","Riyadh Saudi Arabia","Abroad Work",NULL
52988,"Data Analyst","Riyadh Saudi Arabia","Want More",NULL
966006,"CRM Data Analyst intern - Chanel","United Arab Emirates","Talent Pal",NULL
1067386,"MFL-C (AFD) Data Analyst - ROSEN Group","Saudi Arabia","Talent Pal",NULL
465336,"Reporting Engineer","United Arab Emirates","TASC Outsourcing",NULL
1341231,"Data Analyst","Abu Dhabi - United Arab Emirates","JobCenter",NULL
5383,"Data Analyst","United Arab Emirates","Halian",NULL
1332207,"Data Analyst","Riyadh Saudi Arabia","Jing Hau",NULL
20319,"Data Analyst","Doha, Qatar","Avanta Works",NULL
935655,"Data Analyst","United Arab Emirates","JobCenter",NULL
265529,"Data Analyst","Riyadh Saudi Arabia","Workato",NULL
192283,"Data Analyst","Abu Dhabi - United Arab Emirates","Work standard",NULL
1341071,"Data Analytics","Abu Dhabi - United Arab Emirates","Five Continents Technical & Industrial Services Est.",NULL
337260,"Data Analyst","Abu Dhabi - United Arab Emirates","JobCenter",NULL
1078860,"Compliance Reporting Analyst","Abu Dhabi - United Arab Emirates","Halian",NULL
1452240,"Manager, Data","Saudi Arabia","NEOM",NULL
357611,"Data Analyst","Abu Dhabi - United Arab Emirates","ConFlip",NULL
440434,"Data Analyst","Ajman - United Arab Emirates","Ecojob",NULL
429331,"Data Strategist Analyst","Dubai - United Arab Emirates","Accenture",NULL
364439,"Data Analyst","Riyadh Saudi Arabia","Flyper",NULL
852425,"Data Analyst","Riyadh Saudi Arabia","PPOAR",NULL
99932,"Customer Analytics Associate","Dubai - United Arab Emirates","Majid Al Futtaim",NULL
1574955,"Data Analyst","Doha, Qatar","Ecojob",NULL
63348,"Commercial Data Application Manager","Doha, Qatar","Qatar Airways",NULL
751232,"Data Analyst","Doha, Qatar","Avanta Works",NULL
1052782,"Data Analyst | Light Production Control Center","Doha, Qatar","Qatar Airways",NULL
181003,"Data Analyst","Saudi Arabia","NEOM",NULL
727901,"Data Analyst Jobs in Dubai","Dubai - United Arab Emirates","Al Futtaim",NULL
1615753,"Analytics and Insights Manager","Dubai - United Arab Emirates","The Emirates Group",NULL
1155356,"Principal Data Analyst Jobs In Dubai | Emirates Group Careers","Dubai - United Arab Emirates","Talentscoutarabia",NULL
351100,"Data Analyst","Sharjah - United Arab Emirates","JobCenter",NULL
573893,"Data Analyst","Riyadh Saudi Arabia","Workato",NULL
1415502,"Data Analyst","Riyadh Saudi Arabia","India Abroad",NULL
376971,"Data Analyst","Riyadh Saudi Arabia","PPOAR",NULL
251631,"Data Analyst","Dubai - United Arab Emirates","Ecojob",NULL
1146503,"Product Data Analyst Jobs In Dubai United Arab Emirates 2023","Dubai - United Arab Emirates","Parsons",NULL
760220,"Data Analyst","Saudi Arabia","NEOM",NULL
200110,"Data Analyst","Dubai - United Arab Emirates","Caliberly",NULL
1741101,"Data Analyst","Doha, Qatar","Workato",NULL
170294,"Data Analyst","Riyadh Saudi Arabia","Want More",NULL
13977,"RCM Data Analyst Jobs In Dubai | Mediclinic Recruitment 2022","Dubai - United Arab Emirates","Talentscoutarabia",NULL
1136654,"Data analyst","United Arab Emirates","TASC Outsourcing",NULL
1215203,"RCM Data Analyst | Mediclinic","Dubai - United Arab Emirates","Talentscoutarabia",NULL
248436,"Data Analyst – Dubai Jobs In Dubai 2023","Dubai - United Arab Emirates","TikTok",NULL
74540,"HR Data Analyst","Abu Dhabi - United Arab Emirates","Farah Experiences",NULL
865163,"Data Analyst","Abu Dhabi - United Arab Emirates","Woopel",NULL
1657732,"Data Analyst","Umm Al Quwain - Umm Al Quawain - United Arab Emirates","India Abroad",NULL
847519,"Data Analyst","Riyadh Saudi Arabia","Flyper",NULL
